INPUT VALUES: 
m: 1, c: 0.045, k: 2.2
a_1: -1.95, a_2: -2, a_3: 1.75
w_1: 0.055, w_2: 1.05, w_3: 2.05
Time, Displacement, Velocity, Acceleration 
0, 0, 0, 0
0.1, 0.0002288982206, 0.006825298884, 0.1350925317
0.2, 0.001795217453, 0.0264799288, 0.2540558817
0.3, 0.00587644834, 0.05661391594, 0.3423951189
0.4, 0.01334543394, 0.09351597135, 0.387519583
0.5, 0.02464512279, 0.1323442891, 0.3795308178
0.6, 0.03969013052, 0.1674296649, 0.3118749443
0.7, 0.0578016062, 0.1926356623, 0.1818263141
0.8, 0.07768021837, 0.2017576138, -0.009222963555
0.9, 0.09742014257, 0.1889401429, -0.2556840921
1, 0.1145648337, 0.1490917257, -0.5479100042
1.1, 0.1262032022, 0.07827464111, -0.8725477881
1.2, 0.1291026803, -0.02595050821, -1.213091789
1.3, 0.1198736674, -0.1642447048, -1.550614574
1.4, 0.09515806983, -0.3352911426, -1.864644433
1.5, 0.0518331937, -0.5356893503, -2.134150873
1.6, -0.0127788286, -0.7599514459, -2.338594041
1.7, -0.1007065316, -1.000604553, -2.458990367
1.8, -0.2131401454, -1.248398538, -2.478945166
1.9, -0.3502684447, -1.492613326, -2.38560357
2, -0.5111508896, -1.721455295, -2.170473919
2.1, -0.6936332575, -1.922527898, -1.830082587
2.2, -0.8943132851, -2.083357875, -1.366425926
2.3, -1.108560819, -2.191955401, -0.7871932756
2.4, -1.330594693, -2.237384344, -0.1057445683
2.5, -1.553616094, -2.210317734, 0.6591635698
2.6, -1.769995698, -2.103553398, 1.483898504
2.7, -1.971509366, -1.912465804, 2.340703573
2.8, -2.149614909, -1.635372166, 3.19865563
2.9, -2.295760378, -1.273793946, 4.024793067
3, -2.401712626, -0.8325987852, 4.785371332
3.1, -2.459893644, -0.3200125534, 5.447196632
3.2, -2.463711357, 0.252503675, 5.978984306
3.3, -2.40787136, 0.8705113942, 6.352686233
3.4, -2.288656367, 1.51698132, 6.544731867
3.5, -2.104160986, 2.172797606, 6.537130033
3.6, -1.854470872, 2.817363252, 6.318383354
3.7, -1.541777123, 3.429285825, 5.884174014
3.8, -1.170419103, 3.987118929, 5.237788169
3.9, -0.7468514649, 4.470132057, 4.390256358
4, -0.2795339703, 4.859079752, 3.3601984
4.1, 0.2212543289, 5.136940448, 2.173372963
4.2, 0.7436720656, 5.289595948, 0.8619438428
4.3, 1.274636364, 5.306424301, -0.5365135366
4.4, 1.800197577, 5.180781722, -1.98023123
4.5, 2.305955787, 4.910353101, -3.42464993
4.6, 2.777505128, 4.497355404, -4.823950896
4.7, 3.200890621, 3.948583695, -6.132661659
4.8, 3.563061548, 3.275295415, -7.307274981
4.9, 3.852305211, 2.492934672, -8.307819449
5, 4.058645423, 1.620704409, -9.099321423
5.1, 4.174191159, 0.6810001916, -9.653101798
5.2, 4.193422441, -0.3012752859, -9.947857031
5.3, 4.113402687, -1.299493206, -9.970481956
5.4, 3.933909319, -2.286147591, -9.716601648
5.5, 3.657477323, -3.233741957, -9.190790703
5.6, 3.289353596, -4.115681814, -8.40647028
5.7, 2.837363079, -4.907140817, -7.385485666
5.8, 2.311690921, -5.585869283, -6.157379414
5.9, 1.724587887, -6.132915866, -4.758386873
6, 1.090009047, -6.53323643, -3.230191605
6.1, 0.4231981441, -6.776168362, -1.618487417
6.2, -0.2597680254, -6.855753663, 0.02859891463
6.3, -0.9424594935, -6.770899785, 1.662164856
6.4, -1.608580744, -6.525373348, 3.234207066
6.5, -2.242449385, -6.12762809, 4.699251375
6.6, -2.829449612, -5.590474605, 6.015877179
6.7, -3.356445276, -4.930605291, 7.148079973
6.8, -3.812138967, -4.167993239, 8.066422423
6.9, -4.187365634, -3.325188339, 8.748932842
7, -4.475311786, -2.426537503, 9.181720092
7.1, -4.671654147, -1.497358457, 9.359285157
7.2, -4.774614642, -0.5630979037, 9.284521632
7.3, -4.78493172, 0.3514949318, 8.96840954
7.4, -4.70575105, 1.223149444, 8.429418819
7.5, -4.542441542, 2.030781719, 7.692649963
7.6, -4.302345249, 2.756105054, 6.788749271
7.7, -3.994471963, 3.384122607, 5.752644542
7.8, -3.629151099, 3.903486799, 4.622153459
7.9, -3.217654743, 4.306715531, 3.436521225
8, -2.771806433, 4.590261062, 2.234945937
8.1, -2.303590373, 4.754433236, 1.055149766
8.2, -1.824775324, 4.803184445, -0.06794879553
8.3, -1.3465664, 4.743768985, -1.103411329
8.4, -0.8792965051, 4.586294175, -2.025261241
8.5, -0.4321672012, 4.343184525, -2.813236257
8.6, -0.01304649783, 4.028583179, -3.453287024
8.7, 0.3716714467, 3.657716817, -3.937808046
8.8, 0.7171424131, 3.246250996, -4.265598487
8.9, 1.020084381, 2.8096626, -4.441561613
9, 1.278728952, 2.362654639, -4.476162384
9.1, 1.492717329, 1.918636202, -4.384672464
9.2, 1.66294838, 1.489287002, -4.18624034
9.3, 1.791388039, 1.084221819, -3.902830972
9.4, 1.880850613, 0.7107654735, -3.558084082
9.5, 1.934763365, 0.373843891, -3.176142857
9.6, 1.956926043, 0.07599159283, -2.780505139
9.7, 1.9512768, -0.1825291545, -2.392947308
9.8, 1.921675236, -0.403507163, -2.032567063
9.9, 1.871712083, -0.5904730742, -1.714985315
10, 1.804553508, -0.7483196476, -1.45173977
10.1, 1.722826062, -0.8828720168, -1.249893812
10.2, 1.628546179, -1.000430211, -1.111874373
10.3, 1.523095851, -1.107307094, -1.035542058
10.4, 1.407243776, -1.20938467, -1.014486307
10.5, 1.281209038, -1.311710478, -1.038528336
10.6, 1.144762326, -1.418153603, -1.094405331
10.7, 0.9973578658, -1.531136755, -1.166601391
10.8, 0.8382877945, -1.651457104, -1.238284298
10.9, 0.6668496484, -1.778204195, -1.292302586
11, 0.4825170331, -1.908778594, -1.312194896
11.1, 0.2851034219, -2.039010055, -1.283163192
11.2, 0.07490939154, -2.163369255, -1.192963192
11.3, -0.1471555758, -2.275262622, -1.032669235
11.4, -0.37948434, -2.367395803, -0.7972765612
11.5, -0.6197223987, -2.432187964, -0.4861113858
11.6, -0.8647613149, -2.462216571, -0.1030279056
11.7, -1.110777236, -2.450670724, 0.3436189489
11.8, -1.353314233, -2.391790452, 0.8412259877
11.9, -1.587409938, -2.281269864, 1.373410148
12, -1.807758823, -2.116603409, 1.920673575
12.1, -2.008906477, -1.897356952, 2.461237058
12.2, -2.185466593, -1.625348565, 2.972005621
12.3, -2.332351032, -1.304727893, 3.429623688
12.4, -2.445002464, -0.9419474887, 3.811572797
12.5, -2.519618635, -0.5456242891, 4.097262336
12.6, -2.553357413, -0.126294459, 4.269063528
12.7, -2.544512294, 0.3039303257, 4.313238778
12.8, -2.492649124, 0.7317924428, 4.220722481
12.9, -2.398696262, 1.143386936, 3.987715411
13, -2.26498225, 1.52470895, 3.616062445
13.1, -2.095217251, 1.862227177, 3.113392465
13.2, -1.894416847, 2.143458909, 2.493009368
13.3, -1.668769304, 2.357521666, 1.77353375
13.4, -1.425449862, 2.495636933, 0.9783056414
13.5, -1.172388017, 2.551563034, 0.1345691318
13.6, -0.9179959206, 2.521936805, -0.7275306094
13.7, -0.67086789, 2.40650718, -1.57609892
13.8, -0.439462511, 2.208248075, -2.378745929
13.9, -0.2317798323, 1.933342815, -3.103892596
14, -0.05504666595, 1.591037614, -3.722074616
14.1, 0.08457701231, 1.19336704, -4.20718963
14.2, 0.1822581345, 0.7547598169, -4.537634752
14.3, 0.2347057504, 0.2915384258, -4.697285295
14.4, 0.2403316238, -0.178669394, -4.676271486
14.5, 0.1993484792, -0.6375852081, -4.471517799
14.6, 0.1138005252, -1.066975384, -4.087018855
14.7, -0.01247648899, -1.449360317, -3.533836401
14.8, -0.1739656525, -1.768709181, -2.829813143
14.9, -0.3636468501, -2.011092165, -1.999010767
15, -0.5732366939, -2.165263454, -1.070890843
15.1, -0.7934822639, -2.223150626, -0.07926801182
15.2, -1.014498221, -2.180229568, 0.9389255834
15.3, -1.226134976, -2.035768334, 1.945017579
15.4, -1.418364188, -1.792928376, 2.900061155
15.5, -1.58166698, -1.458717163, 3.766331958
15.6, -1.707409953, -1.043792002, 4.508797092
15.7, -1.788194358, -0.5621208083, 5.096497712
15.8, -1.818164648, -0.03051125683, 5.503789715
15.9, -1.793264039, 0.5319749086, 5.711392317
16, -1.711426642, 1.104701003, 5.707201606
16.1, -1.572698039, 1.66620268, 5.486835247
16.2, -1.3792789, 2.194975217, 5.053885035
16.3, -1.135489106, 2.670270912, 4.419865446
16.4, -0.8476529019, 3.072876089, 3.60385838
16.5, -0.5239086168, 3.385837846, 2.631866303
16.6, -0.1739494058, 3.595112482, 1.535897588
16.7, 0.1912958747, 3.690110469, 0.3528185555
16.8, 0.5600302109, 3.664116743, -0.8769840428
16.9, 0.9199910651, 3.514569889, -2.111078713
17, 1.258873389, 3.243189193, -3.306546228
17.1, 1.564757493, 2.855944425, -4.421557816
17.2, 1.826526051, 2.362869295, -5.41691356
17.3, 2.034254894, 1.777725537, -6.25748161
17.4, 2.179563251, 1.117530368, -6.913482782
17.5, 2.255910641, 0.4019652972, -7.361571295
17.6, 2.258829631, -0.3473111872, -7.58567051
17.7, 2.186086131, -1.107420911, -7.577532304
17.8, 2.037761658, -1.855064526, -7.336999713
17.9, 1.816254942, -2.567331039, -6.871964213
18, 1.526203296, -3.222487898, -6.198021119
18.1, 1.174327194, -3.800722114, -5.337838442
18.2, 0.7692043353, -4.284805001, -4.320265762
18.3, 0.3209820805, -4.660656301, -3.179219805
18.4, -0.1589606349, -4.917787548, -1.952391931
18.5, -0.6583890267, -5.04960942, -0.6798294927
18.6, -1.164611691, -5.053593261, 0.5975524333
18.7, -1.664888501, -4.931282744, 1.83947017
18.8, -2.146832229, -4.688157525, 3.007722769
18.9, -2.598789429, -4.333356509, 4.067539386
19, -3.01018715, -3.879273749, 4.988771317
19.1, -3.371833589, -3.34104479, 5.74688407
19.2, -3.676162808, -2.735945358, 6.323713436
19.3, -3.917415958, -2.082727364, 6.707959453
19.4, -4.091754103, -1.400919297, 6.895403076
19.5, -4.197300459, -0.7101190303, 6.888841828
19.6, -4.234112706, -0.02930682009, 6.697752153
19.7, -4.204088714, 0.6237949899, 6.337697298
19.8, -4.110811601, 1.233291504, 5.829509663
19.9, -3.959342243, 1.785593309, 5.198285462
20, -3.755969278, 2.269786441, 4.472236723
20.1, -3.507928021, 2.677882502, 3.681450901
20.2, -3.22310066, 3.004942328, 2.856611511
20.3, -2.909710479, 3.249072039, 2.027733977
20.4, -2.576022704, 3.41129564, 1.222969473
20.5, -2.230063895, 3.495313481, 0.4675258695
20.6, -1.879370636, 3.507160493, -0.2172508222
20.7, -1.530776676, 3.454782132, -0.8145985595
20.8, -1.190245729, 3.347549103, -1.312837941
20.9, -0.8627548964, 3.195734129, -1.705630438
21, -0.552231288, 3.009975242, -1.991989799
21.1, -0.2615419686, 2.800750129, -2.176051062
21.2, 0.007465076084, 2.577885118, -2.266612117
21.3, 0.2538735138, 2.350120385, -2.276472532
21.4, 0.4775713653, 2.124750066, -2.221603011
21.5, 0.6790920999, 1.907352217, -2.120185967
21.6, 0.859433684, 1.701619284, -1.991572973
21.7, 1.019865967, 1.509294939, -1.855208184
21.8, 1.161737125, 1.330218191, -1.729567882
21.9, 1.286289734, 1.162470669, -1.631165241
22, 1.394496377, 1.002618255, -1.573666148
22.1, 1.486923597, 0.8460338492, -1.567156688
22.2, 1.563631496, 0.6872843809, -1.617595866
22.3, 1.624114426, 0.5205621944, -1.726478697
22.4, 1.667286131, 0.3401389218, -1.890725191
22.5, 1.691510452, 0.1408188958, -2.102800534
22.6, 1.694676376, -0.08163084237, -2.351061307
22.7, 1.674314013, -0.3300958579, -2.620312302
22.8, 1.627745923, -0.6057948445, -2.892548949
22.9, 1.552266414, -0.9080423064, -3.147851854
23, 1.445339894, -1.234106636, -3.365392933
23.1, 1.304808254, -1.579172495, -3.524507336
23.2, 1.129096605, -1.936411639, -3.605782116
23.3, 0.9174065291, -2.297161357, -3.592111434
23.4, 0.6698863162, -2.651204699, -3.4696692
23.5, 0.3877685238, -2.987141913, -3.228753264
23.6, 0.0734664315, -3.292838154, -2.864460543
23.7, -0.2693773243, -3.555928826, -2.377159545
23.8, -0.6358946404, -3.764360968, -1.772735337
23.9, -1.0200508, -3.906947076, -1.062591742
24, -1.414758305, -3.973906773, -0.2634060271
24.1, -1.812043245, -3.957371769, 0.6033578893
24.2, -2.203259336, -3.851830726, 1.5121611
24.3, -2.579342554, -3.654492776, 2.43429963
